曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
Strange Bar,DX,Master,13+,13.9,91.6752,1922,193
HERA,SD,Master,14,14.2,65.8855,1623,89
幽霊東京,DX,Expert,8+,8.7,100.9641,1203,195
アスノヨゾラ哨戒班,DX,Expert,9,9,100.7891,1351,202
ビターチョコデコレーション,DX,Expert,9+,9.9,99.9917,1355,208
オントロジー,DX,Master,12+,12.8,100.5224,1906,288
Ether Strike,DX,Master,13+,13.9,97.5495,2092,271
Trick tear,DX,Master,14,14.4,98.5534,2142,288
Sound Chimera,DX,Master,13+,13.9,97.5608,2467,271
Scars of FAUNA,SD,Master,13+,13.8,98.4395,1916,275
Fragrance,SD,Master,14,14.2,90.8949,1340,196
パーフェクション,DX,Master,13,13.5,100.3765,2265,292
居並ぶ穀物と溜息まじりの運送屋,DX,Master,12+,12.9,99.0984,2428,265
ネトゲ廃人シュプレヒコール,SD,Master,13+,13.7,98.8506,2247,274
星詠みとデスペラード,DX,Master,14,14,99.1804,2100,288
スーパーシンメトリー,DX,Master,13+,13.9,99.5296,2645,291
Armageddon,DX,Master,13+,13.9,99.1077,2543,286
Cthugha,DX,Master,14,14.3,99.1265,2978,294
Ututu,DX,Master,12+,12.9,100.0335,1720,278
シエルブルーマルシェ,DX,Master,12+,12.8,99.8219,1492,269
ヒトガタ,DX,Master,13,13.4,100.0717,2140,289
BOKUTO,DX,Master,13,13.4,99.5431,2710,281
共鳴,DX,Master,13,13,98.4803,1677,259
Black Lair,DX,Master,13+,13.8,99.5723,2146,289
ブレインジャックシンドローム,DX,Master,13,13.3,97.0522,2582,258
FEEL the BEATS,SD,Master,13,13.6,97.0254,2299,263
8-EM,DX,Master,13+,13.8,99.6053,2162,290
ECHO,SD,Master,13,13.5,99.074,1919,278
ウサテイ,SD,Master,14,14,95.8437,1506,225
KING is BACK!!,SD,Master,14,14,97.4644,2415,272
デーモンベット,DX,Master,13,13.2,93.0883,1510,186
立ち入り禁止,SD,Re:MASTER,13+,13.8,97.1621,2277,268
最終鬼畜妹フランドール・S,SD,Re:MASTER,13+,13.7,95.7704,1962,220
CYBER Sparks,SD,Re:MASTER,13+,13.7,97.8495,2307,268
Desperado Waltz,DX,Expert,11+,11.8,100.2852,1887,255
N3V3R G3T OV3R,DX,Expert,12,12,99.7682,1302,252
Bad Apple!! feat nomico,SD,Re:MASTER,13,13.3,98.6003,1738,266
UniTas,DX,Expert,11+,11.8,100.4883,2065,256
RIDGE RACER STEPS -GMT remix-,SD,Expert,11+,11.8,99.4756,1294,244
泡沫、哀のまほろば,SD,Master,12,12.5,100.3037,1008,270
sweet little sister,SD,Master,13,13.4,98.9704,1557,269
永遠のメロディ,SD,Master,12,12.5,99.7135,1675,262
超絶！Superlative,SD,Master,13,13.2,98.3575,1070,263
チルノのパーフェクトさんすう教室,SD,Master,12+,12.9,97.5021,1316,251
ENERGY SYNERGY MATRIX,SD,Master,13+,13.9,98.9713,2178,279
End Time,SD,Master,14+,14.7,87.5424,1805,175
Destr0yer,SD,Expert,12,12,98.8721,1397,240
宛城、炎上！！,DX,Master,13+,13.8,97.8936,3384,270
wheel,DX,Master,12+,12.8,99.5005,1432,268
Beautiful Future,DX,Master,13+,13.7,99.7808,2185,288
夜明けまであと３秒,SD,Master,14,14,96.5447,2225,227
幸せになれる隠しコマンドがあるらしい,SD,Master,14,14,97.3702,2128,272
YURUSHITE,DX,Master,14,14.4,94.5602,2495,228
サンバランド,SD,Master,13,13.2,90.5478,1444,181
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,DX,Master,13+,13.8,99.5395,2440,289
Estahv,DX,Master,13+,13.9,100.3105,1698,301
魔ジョ狩リ,DX,Master,13+,13.7,100.5305,1837,308
KISS CANDY FLAVOR,SD,Master,13,13.4,100.0828,1913,289
BANG!,DX,Master,13,13,99.5385,1573,273
骸骨楽団とリリア,DX,Master,13,13.4,98.1879,1924,267
すーぱーぬこになりたい,SD,Master,13+,13.7,97.2024,2253,266
人生リセットボタン,SD,Master,13+,13.8,99.6256,2470,290
Nyan Cat EX,SD,Master,13+,13.8,97.44,1663,268
DETARAME ROCK&ROLL THEORY,SD,Master,13+,13.8,97.3508,2015,268
Maxi,SD,Master,14,14,95.9696,2046,225
World's end loneliness,DX,Expert,13,13,100.5388,1955,292
Sakura Fubuki,SD,Expert,12,12.2,100.503,868,274
Swift Swing,DX,Expert,12,12.5,100.0036,1551,270
mystique as iris,DX,Expert,12+,12.8,100.066,1957,276
Metamorphosism,DX,Expert,12+,12.8,99.6242,1374,269
デスパレイト,SD,Expert,11+,11.9,99.4499,1253,246
Sage,DX,Expert,12+,12.9,100.2762,1720,279
麒麟,SD,Expert,13,13,98.7939,1488,260
Arty Party,DX,Expert,11+,11.8,98.7586,1368,236
超絶！Superlative,SD,Expert,11+,11.8,98.7183,937,236
田中,DX,Expert,12,12.1,98.6081,1685,242
蜘蛛の糸,DX,Expert,12+,12.8,98.4948,1831,255
チューリングの跡,DX,Expert,13,13.5,98.4617,1273,269
[X],DX,Expert,12,12,100.2967,1738,259
分からない,SD,Expert,11+,11.7,0,0,0
39,SD,Re:MASTER,13,13.4,100.6172,1548,301
洗脳,SD,Re:MASTER,12+,12.9,99.4021,2004,266
フォニイ,DX,Re:MASTER,13,13.3,100.7856,2078,299
踊,DX,Re:MASTER,13,13.2,99.4406,2210,273
ホシシズク,DX,Master,12+,12.9,100.5344,2347,290
星空パーティーチューン,DX,Master,13+,13.7,100.5231,2504,308
ジレンマ,DX,Master,12+,12.9,99.7477,2304,271
Splash Dance!!,DX,Master,13,13.4,100.6277,2704,301
奏者はただ背中と提琴で語るのみ,SD,Master,13+,13.8,100.0786,2374,298
スカーレット警察のゲットーパトロール24時,DX,Master,13,13.5,100.5681,1937,303
Rainbow Rush Story,DX,Master,13+,13.8,99.7244,2415,290
ソリッド,DX,Master,13,13.4,99.2037,1978,276
頓珍漢の宴,SD,Master,13+,13.8,99.5235,2489,289
残響散歌,DX,Master,13,13.4,99.9191,2505,282
Jouez Avec Moi?,DX,Master,13+,13.8,100.1535,2472,298
コスモポップファンクラブ,DX,Master,13,13,99.041,2417,267
響縁,SD,Master,13,13,98.0671,1713,258
エゴロック,DX,Master,13+,13.7,99.6706,1815,288
キャプテン・ムラサのケツアンカー,SD,Master,13,13.4,98.9836,1462,269
GEMINI -M-,SD,Master,13+,13.9,98.6399,2648,278
撩乱乙女†無双劇,DX,Master,13,13.4,100.446,2319,290
三妖精SAY YA!!!,DX,Master,13,13.3,100.4794,2201,288
Alea jacta est!,SD,Master,14,14.4,98.7208,2447,288
白花の天使,DX,Master,13+,13.9,99.8193,2210,292
分解収束テイル,DX,Master,13+,13.7,96.7301,2629,222
Tricolor⁂circuS,DX,Master,14,14,99.721,2424,294
弱虫モンブラン,SD,Master,12+,12.7,100.7544,1260,285
folern,DX,Master,13+,13.9,99.1026,2509,286
"Good bye, Merry-Go-Round.",DX,Master,14,14.1,97.1574,2112,273
脳漿炸裂ガール,SD,Master,14,14,91.2373,1317,194
Turn around,SD,Expert,13,13.1,99.3766,1009,270
DO RORO DERODERO ON DO RORO,SD,Master,13+,13.7,100.0288,1289,296
Still,SD,Master,13,13.4,100.1507,2095,289
モザイクロール,DX,Master,13,13.1,99.8918,1916,276
ネクロファンタジア～Arr.Demetori,SD,Master,13+,13.8,100.1937,2559,298
Signature,SD,Master,13,13.6,98.5526,1708,272
福宿音屋魂音泉,DX,Master,12+,12.9,99.6474,2431,271
Mare Maris,SD,Master,13+,13.8,98.88,2099,277
レッツゴー!陰陽師,SD,Master,13,13.3,100.5714,1619,299
[X],DX,Master,13+,13.9,99.2733,2643,287
See The Light,DX,Master,13+,13.8,98.5756,2109,276
Transcend Lights,DX,Master,13,13.5,100.5387,1663,303
僕の和風本当上手,DX,Master,14,14,98.6466,2935,280
妄想感傷代償連盟,SD,Re:MASTER,13,13.2,99.8469,1901,278
Luminaria,DX,Expert,12,12.2,100.6344,1854,274
ViRTUS,DX,Expert,13,13.2,98.9816,1847,265
銀のめぐり,DX,Master,12+,12.9,99.8416,1726,271
Barbed Eye,SD,Master,13,13,99.8183,1991,273
You Mean the World to Me,DX,Master,13+,13.8,100.5763,1851,310
Catch Me If You Can,DX,Master,13,13.2,99.3285,2188,272
Destiny Runner,DX,Master,14,14,99.3396,2531,289
Grievous Lady,DX,Master,14,14.1,98.7681,2553,282
ViRTUS,DX,Master,14+,14.7,96.3303,2519,237
SUPER AMBULANCE,DX,Expert,12,12,100.6881,1788,270
#狂った民族２ PRAVARGYAZOOQA,DX,Expert,12+,12.7,100.6457,1428,285
火炎地獄,DX,Expert,12,12.5,100.1284,1454,270
MAGNETAR GIRL,DX,Master,13+,13.8,98.9998,2424,277
Neon Kingdom,DX,Master,13+,13.8,98.6973,1799,276
雷切-RAIKIRI-,SD,Master,14,14.6,60.0015,1696,84
FEEL the BEATS,SD,Re:MASTER,14,14,98.3565,2452,279
EYE,DX,Expert,9,9,100.9107,1330,202
Baddest,DX,Master,13+,13.8,100.0607,2758,298
ロータスイーター,DX,Master,13,13.3,100.1694,2139,287
ローリンガール,SD,Master,13,13.2,99.4796,1412,273
モンダイナイトリッパー！,DX,Master,13+,13.7,100.2247,2273,296
デッドレッドガールズ,SD,Master,13+,13.9,100.0572,2365,300
マネマネサイコトロピック,DX,Master,13+,13.7,99.1527,2178,282
Lost Desire,DX,Master,13+,13.8,99.2385,2321,284
SUPER AMBULANCE,DX,Master,14,14.3,98.8339,2733,286
Big Daddy,DX,Master,13+,13.8,98.4917,2585,275
MEGATON BLAST,DX,Master,14,14.3,98.956,3171,287
幻想に咲いた花,DX,Master,13,13.1,98.418,1950,261
Hainuwele,DX,Master,14,14.3,98.3635,2563,285
Aiolos,SD,Master,14,14.3,98.126,2608,284
ほしぞらスペクタクル,DX,Master,14,14.4,98.7776,3011,288
The wheel to the right,SD,Master,14,14,97.9684,2429,274
パラマウント☆ショータイム！！,DX,Master,13+,13.9,98.2822,2416,277
#狂った民族２ PRAVARGYAZOOQA,DX,Master,14,14.4,97.8227,2363,281
VIIIbit Explorer,SD,Master,14,14.5,98.3795,2661,289
宿星審判,DX,Master,14,14.3,97.3446,2658,278
電光石火,DX,Master,14,14.3,97.3057,2589,278
もぺもぺ,DX,Master,13+,13.9,96.2717,1689,224
"411Ψ892",DX,Master,14,14.3,96.6231,2295,232
Luminaria,DX,Master,14,14,99.0243,2151,288
VSpook!,DX,Master,14,14.4,98.622,2772,288
Mjölnir,DX,Master,14,14.4,97.5159,3069,280
超常マイマイン,DX,Re:MASTER,13+,13.8,98.6057,2739,276
Secret Sleuth,DX,Re:MASTER,13+,13.7,98.5517,2288,274
Now or Never,DX,Re:MASTER,14,14,99.8624,2605,294
LUCIA,SD,Re:MASTER,13+,13.7,97.3501,1693,266
シエルブルーマルシェ,DX,Re:MASTER,13+,13.7,96.1679,1028,221
MAXRAGE,DX,Re:MASTER,14,14.2,95.8417,2341,228
Dragoon,SD,Re:MASTER,14,14.5,94.8675,1915,231
康莊大道,DX,Expert,13,13.2,100.606,1969,297
Ghost Dance,DX,Master,13,13.3,100.5661,2277,299
キュートなカノジョ,DX,Master,12+,12.8,99.7495,1834,269
brilliant better,SD,Master,13,13.3,100.5575,2258,299
アウターサイエンス,SD,Master,13,13.3,99.28,1882,274
Alice's Suitcase,DX,Master,13+,13.8,100.0033,2112,298
アンノウン・マザーグース,SD,Master,13,13.3,99.2386,1865,274
蒼穹舞楽,DX,Master,13+,13.9,99.2158,2279,286
Urban Crusher [Remix],SD,Master,13,13.4,99.1012,1192,276
Don't Fight The Music,DX,Master,14,14.1,98.7601,2845,282
れっつ！みらくる☆はーどこあっ！,DX,Master,13+,13.9,99.7582,2929,292
スリップフリップ,SD,Master,13+,13.8,98.5344,2147,276
ピュグマリオンの咒文,DX,Master,13+,13.8,99.3908,2238,285
悪魔の踊り方,DX,Master,13,13,98.054,1730,258
魔法少女になるしかねぇ,SD,Master,14,14,98.0205,2335,278
Scream out! -maimai SONIC WASHER Edit-,SD,Master,14,14,98.4826,2675,279
記憶、記録,SD,Master,13,13.5,97.8322,1600,264
星見草,DX,Master,13+,13.8,97.7624,2014,269
天火明命,SD,Master,13+,13.9,97.4576,2308,270
Beat Opera op.1,DX,Master,14,14,98.531,1890,280
keep hopping,SD,Master,14,14,97.1338,2087,271
Life Feels Good,SD,Master,13+,13.7,96.879,1666,222
D✪N’T  ST✪P  R✪CKIN’,SD,Master,13+,13.8,96.3314,1870,223
Last Samurai,DX,Master,13+,13.9,96.2792,1144,224
エナドリおいしいソング,DX,Master,14,14,96.0859,1616,225
ガラテアの螺旋,SD,Master,14,14.6,95.9765,1934,235
felys -final remix-,DX,Master,14,14.4,97.3828,2641,280
初音ミクの消失,SD,Master,13+,13.9,95.3083,2176,222
TiamaT:F minor,SD,Master,14,14.6,96.95,2683,237
Aegleseeker,DX,Master,14,14.5,94.5683,2498,230
エータ・ベータ・イータ,DX,Master,14,14.1,94.0827,2414,222
Credits,SD,Master,14,14.5,94.6145,1648,230
GIGANTØMAKHIA,DX,Master,14+,14.7,93.7646,2630,209
World Vanquisher,SD,Master,14,14.3,81.4736,2092,158
N3V3R G3T OV3R,DX,Master,14,14.3,96.2599,1841,231
VeRForTe αRtE:VEiN,DX,Expert,12+,12.9,100.8853,1809,290
DRAGONLADY,SD,Expert,12+,12.8,98.3928,1003,255
トノサマビーム,DX,Master,12+,12.8,100.5852,2387,288
ジャンキーナイトタウンオーケストラ,DX,Master,12+,12.9,100.5766,2246,290
不機嫌なスリーカード,DX,Master,12+,12.9,100.5495,1453,290
ヒバリ,DX,Master,13,13.4,100.7271,1729,301
"Hello, Hologram",DX,Master,13+,13.7,100.1385,2378,296
星めぐり、果ての君へ。,DX,Master,12+,12.9,100.1264,1910,278
きゅうくらりん,DX,Master,13+,13.7,100.504,2285,308
Comet Panto Men!,DX,Master,14,14,100.0504,2426,302
群青シグナル,DX,Master,13+,13.9,99.4093,2524,287
ツムギボシ,DX,Master,14,14.1,99.4371,2549,291
魔法少女とチョコレゐト,DX,Master,13,13.5,99.9703,1680,284
enchanted wanderer,DX,Master,13+,13.8,100.3392,1637,299
Vallista,DX,Master,14,14.1,98.7303,1966,282
Trrricksters!!,DX,Master,14,14.5,98.3264,2913,289
阿修羅ちゃん,DX,Master,13,13.2,99.902,1896,278
リスペク風神,DX,Master,13+,13.7,100.1957,2291,296
蒼空に舞え、墨染の桜,SD,Master,13,13.4,98.2136,1773,267
Justified,SD,Master,13+,13.9,98.1646,2147,276
Reach For The Stars (Re-Colors),DX,Master,13+,13.9,98.0678,2517,276
MAGENTA POTION,DX,Master,13+,13.8,98.3336,2101,275
スピカの天秤,DX,Master,14,14.4,96.8876,2441,234
Caliburne ～Story of the Legendary sword～,SD,Master,14,14.3,96.5101,2323,231
Xenovcipher,DX,Master,14,14.3,95.8971,2383,230
神っぽいな,DX,Re:MASTER,13,13.3,100.0864,1472,287
みんなのマイマイマー,SD,Re:MASTER,13+,13.7,99.6216,1987,287
FLOWER,SD,Re:MASTER,14,14.2,94.4411,2178,225
ストリーミングハート,SD,Master,13,13.3,100.247,1969,287
MAKE IT FUNKY NOW,DX,Master,13+,13.7,98.5134,2061,273
Terminal Storm,SD,Master,13,13.4,97.0014,1141,259
NAGAREBOSHI☆ROCKET,DX,Master,14,14.2,96.7991,2029,230
渦状銀河のシンフォニエッタ,DX,Master,14,14.6,95.6413,2946,234
CO5M1C R4ILR0AD,DX,Master,14,14.4,83.9787,2032,164
生命不詳,DX,Master,13+,13.7,98.9552,2216,275
CITRUS MONSTER,SD,Master,14,14.5,95.514,2359,232
taboo tears you up,SD,Expert,11,11.3,100.761,1490,254
進捗どうですか？,SD,Master,13+,13.7,100.4937,2445,297
VeRForTe αRtE:VEiN,DX,Master,14+,14.8,95.3187,2476,237
"Good Bye, Mr. Jack",SD,Master,13+,13.9,98.7645,2291,278
ツムギボシ,DX,Expert,11+,11.9,100.6318,1688,267
ロウワー,DX,Re:MASTER,13,13.5,98.3513,1847,269
YU-MU,SD,Master,13,13.2,100.4693,1533,286
RIFFRAIN,DX,Master,13,13,100.4252,1634,281
その群青が愛しかったようだった,SD,Master,12+,12.7,99.571,1884,266
放課後ストライド,SD,Master,13,13.3,98.8678,1806,266
Death Scythe,SD,Master,13+,13.8,98.8267,1956,276
Upshift,DX,Master,13+,13.8,97.4547,2154,268
7thSense,SD,Master,14,14.4,96.0907,2033,232
四月の雨,SD,Master,13+,13.9,94.3455,1479,220
conflict,SD,Master,14,14.2,85.354,1912,164
ワールズエンド・ダンスホール,SD,Re:MASTER,13,13.3,99.939,1662,280
ロミオとシンデレラ,SD,Re:MASTER,13,13.3,99.0049,1599,273
Trrricksters!!,DX,Expert,12+,12.8,100.5612,2177,288
StargazeR,SD,Master,12+,12.7,99.621,1535,266
マーシャル・マキシマイザー,DX,Master,13,13.2,99.2931,2313,272
アスノヨゾラ哨戒班,DX,Master,12+,12.8,99.1674,1899,264
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,SD,Master,13+,13.7,99.455,1650,283
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,SD,Master,13,13.3,99.0091,1667,273
NightTheater,DX,Master,13+,13.9,98.9623,2088,279
ありふれたせかいせいふく,SD,Master,13,13.5,98.2943,2207,269
Re：End of a Dream,DX,Master,14,14.4,95.0768,2666,230
コトバ・カラフル,SD,Master,13+,13.7,100.1065,1495,296
儚きもの人間,SD,Master,13+,13.9,98.8333,2176,278
なるとなぎのパーフェクトロックンロール教室,SD,Master,13+,13.7,99.7444,2046,288
Mutation,DX,Master,14,14,97.8373,2476,273
分からない,SD,Master,14,14,97.8111,2283,273
Back 2 Back,SD,Master,13+,13.7,96.3377,962,221
Swift Swing,DX,Master,14,14.3,94.5326,2093,227
Xevel,SD,Master,14,14.3,79.1916,2243,135
キャットラビング,DX,Master,12+,12.8,100.6537,1731,288
フィクサー,SD,Master,13,13.4,100.0918,2001,289
砂の惑星 feat. HATSUNE MIKU,SD,Master,13,13.3,98.571,1800,266
麒麟,SD,Master,14,14.1,98.006,2053,280
Raven Emperor,DX,Master,14,14.5,98.2823,2250,289
Falling,DX,Master,13,13.4,97.6278,1627,261
My First Phone,SD,Master,13+,13.8,97.3089,1350,268
エンドマークに希望と涙を添えて,SD,Master,14,14.3,95.3026,2513,228
おとせサンダー,DX,Re:MASTER,13+,13.7,100.6246,2632,308
心象蜃気楼,SD,Master,13,13.4,99.7727,2067,282
深海少女,DX,Master,13,13,98.265,1811,259
Ultranova,SD,Master,14,14,97.0805,2107,271
トルコ行進曲 - オワタ＼(^o^)／,SD,Master,13+,13.8,96.4572,1413,223
ヴィラン,DX,Re:MASTER,13,13,99.335,1799,268
アンバークロニクル,DX,Master,13,13.3,100.7535,2265,299
あなたは世界の終わりにずんだを食べるのだ,DX,Master,12+,12.9,100.5407,1674,290
ずんだもんの朝食　〜目覚ましずんラップ〜,DX,Master,13,13.2,100.4294,2008,286
PERSONA feat. PANXI,DX,Master,13,13.3,100.6405,1994,299
Sunday Night feat Kanata.N,DX,Master,13,13.5,100.6746,1652,303
インターネットサバイバー,DX,Master,13,13.4,100.2043,2030,290
コンティニュー！ feat. 藍月なくる,DX,Master,13+,13.7,100.6469,2421,308
ヒミツCULT,DX,Master,13+,13.7,99.976,2403,289
ドキドキDREAM!!!,SD,Master,13,13.2,99.9046,2329,278
DROPS feat. Such,DX,Master,13,13.2,100.5694,1727,297
Arty Party,DX,Master,13+,13.9,99.0995,2085,286
Scream out! -maimai SONIC WASHER Edit-,DX,Master,13,13.6,98.9123,2551,273
We Gonna Journey,SD,Master,13+,13.9,98.2939,2257,277
Contrapasso -paradiso-,SD,Master,14,14.4,96.6699,2436,233
脳天直撃,DX,Master,14,14.6,95.9123,3075,235
花と、雪と、ドラムンベース。,SD,Master,14,14.3,95.2862,2064,228
WiPE OUT MEMORIES,DX,Master,14+,14.7,92.7417,2538,207
リフヴェイン,DX,Master,13+,13.7,100.5316,1745,308
独りんぼエンヴィー,DX,Master,12+,12.7,99.8565,1591,267
廻廻奇譚,DX,Re:MASTER,13,13.5,98.7202,2176,270
私のドッペルゲンガー,DX,Master,13,13.2,100.7929,1816,297
花となれ,DX,Master,12,12.2,100.5518,875,274
Shooting Shower～DANCE TIME(シンディ)～,DX,Master,13,13,100.0093,1506,280
Complex Mind,DX,Master,13+,13.8,100.1567,2307,298
宵の鳥,DX,Master,13+,13.8,100.1392,1935,298
Lividi,SD,Master,14,14,97.5935,2340,273
炎歌 -ほむらうた-,SD,Master,13+,13.7,95.9757,911,220
Halfway(>∀<),DX,Master,13+,13.8,99.194,2346,284
Define,DX,Expert,11+,11.7,100.2448,1355,253
Aegleseeker,DX,Expert,12+,12.8,99.0885,1665,263
ピリオドサイン,DX,Master,13,13.6,99.8947,1925,286
患部で止まってすぐ溶ける～狂気の優曇華院,DX,Master,13,13.5,100.1592,1890,292
四次元跳躍機関,SD,Master,13,13.4,98.755,1608,268
Define,DX,Master,13,13.6,98.6219,1665,272
患部で止まってすぐ溶ける～狂気の優曇華院,SD,Master,13+,13.7,98.1944,1848,273
Regulus,DX,Master,14+,14.7,94.263,2239,232
MYTHOS,SD,Master,14,14.4,94.1595,1624,227
Axeria,SD,Master,14,14.5,73.2916,1627,119
Kairos,DX,Master,13+,13.8,100.4349,1548,299
ARROW,SD,Master,13,13.3,100.332,1732,288
ナイト・オブ・ナイツ,DX,Master,13,13.5,100.1395,1864,292
ドーナツホール,SD,Master,13+,13.7,100.0251,2421,295
Maxi,DX,Master,13+,13.8,99.9909,2387,291
In my world (Prod. KOTONOHOUSE),DX,Master,13,13.3,99.3966,1950,274
GRÄNDIR,DX,Master,13+,13.9,99.2764,2129,287
FEEL ALIVE,SD,Master,13+,13.8,99.1703,1147,284
おちゃめ機能,SD,Master,13+,13.7,99.1538,1243,282
BULK UP (GAME EXCLUSIVE EDIT),DX,Master,14,14.2,99.2933,2501,293
Streak,SD,Master,13+,13.7,97.8464,807,268
ピーマンたべたら,SD,Master,13+,13.7,97.637,1687,267
SPICY SWINGY STYLE,SD,Master,13,13.4,98.43,1667,267
LANCE,SD,Master,13+,13.8,97.0162,2069,267
ULTRA B+K,SD,Master,13+,13.9,96.1084,2003,224
Our Wrenally,SD,Master,14+,14.8,90.4998,2013,203
We Gonna Party,SD,Re:MASTER,13+,13.7,94.3188,1381,217
MilK,SD,Master,13+,13.8,98.2726,1578,275
吉原ラメント,SD,Master,13+,13.7,99.502,2207,287
Komplexe,DX,Master,13+,13.7,99.4644,2092,283
Comet Panto Men!,DX,Expert,12,12,100.9703,1728,270
最強STRONGER,DX,Expert,12+,12.8,100.4119,2103,277
星めぐり、果ての君へ。,DX,Re:MASTER,13,13,99.8769,2208,273
Tell Your World,SD,Re:MASTER,13,13.2,99.593,1232,277
Revive The Rave,SD,Re:MASTER,14,14.4,96.498,2182,233
緋色のDance,SD,Re:MASTER,13+,13.7,96.1347,1217,221
しねばいいのに,SD,Master,13,13,100.4752,1262,282
幻想のサテライト,DX,Master,13,13.6,100.16,1963,294
ミラクル・ショッピング,SD,Master,12+,12.7,100.019,1729,274
Bang Babang Bang!!!,SD,Master,13,13.2,100.0079,1975,285
あねぺったん,SD,Master,13,13.3,99.8464,1915,280
オリフィス,DX,Master,13,13,99.773,2102,273
REAL VOICE,DX,Master,12+,12.8,99.6909,2195,269
少女幻葬戦慄曲 ～ Necro Fantasia,SD,Master,13+,13.9,99.4274,2506,287
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,SD,Master,13,13.4,99.3848,2252,277
進め！イッスン軍団 -Rebellion of the Dwarfs-,SD,Master,13+,13.7,99.1948,1487,282
conflict,DX,Master,13,13.5,98.9632,2330,271
囲い無き世は一期の月影,SD,Master,12,12.6,98.8509,1867,252
タカハせ！名人マン,SD,Master,13,13.5,98.843,1432,270
ユメヒバナ,DX,Master,13,13.4,98.8018,1936,268
BLUE ZONE,DX,Master,14,14.1,98.5572,2218,282
Cosmic Magic Shooter,SD,Master,13+,13.9,98.292,1914,277
Sweet Requiem,DX,Master,13+,13.7,98.2012,2246,273
Scarlet Lance,SD,Master,14,14.2,97.9899,2452,278
ソーラン☆節,SD,Master,13,13.4,96.924,984,218
Garakuta Doll Play,SD,Master,14,14.2,96.6285,2112,230
LiftOff,DX,Master,13+,13.9,96.5301,1854,225
最強STRONGER,DX,Master,14,14.6,95.6849,2556,234
True Love Song,SD,Basic,5,5,0,0,0
